,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,acao_tag
0,2025-11-24 00:00:00-03:00,31.572515446841688,31.756751758992735,31.37858034515383,31.55312156677246,38665600,0.0,0.0,PETR4.SA
1,2025-11-25 00:00:00-03:00,31.368881139630005,31.456151749282014,31.116768100082176,31.30100440979004,28431100,0.0,0.0,PETR4.SA
2,2025-11-26 00:00:00-03:00,31.397973763771883,31.427062733946006,31.126463145797473,31.252521514892578,25042100,0.0,0.0,PETR4.SA
3,2025-11-27 00:00:00-03:00,31.301004655395367,31.417367935180664,31.223432834542884,31.417367935180664,16087400,0.0,0.0,PETR4.SA
4,2025-11-28 00:00:00-03:00,31.291308708609694,31.33009646747668,30.34103081039431,30.82586669921875,60420500,0.0,0.0,PETR4.SA
5,2025-12-01 00:00:00-03:00,30.981014102439687,31.1943393786592,30.61253779041793,30.88404655456543,29489100,0.0,0.0,PETR4.SA
6,2025-12-02 00:00:00-03:00,30.96162050384811,31.097373962402344,30.48648154940614,31.097373962402344,25574100,0.0,0.0,PETR4.SA
7,2025-12-03 00:00:00-03:00,31.174949858402705,31.51433350889677,31.174949858402705,31.330097198486328,36630000,0.0,0.0,PETR4.SA
8,2025-12-04 00:00:00-03:00,31.504638675310048,31.756751717874753,31.465850915221818,31.533727645874023,33009700,0.0,0.0,PETR4.SA
9,2025-12-05 00:00:00-03:00,31.514332171109295,31.911897444384657,30.418603897094727,30.418603897094727,74495100,0.0,0.0,PETR4.SA
10,2025-12-08 00:00:00-03:00,30.6125375133807,31.019799731165236,30.534963845683748,30.69980812072754,30271600,0.0,0.0,PETR4.SA
11,2025-12-09 00:00:00-03:00,30.651325569917553,30.93252942448907,30.37981680558803,30.89374351501465,23863000,0.0,0.0,PETR4.SA
12,2025-12-10 00:00:00-03:00,30.91313565259242,31.01980014064707,30.583448947654883,30.971317291259766,22123700,0.0,0.0,PETR4.SA
13,2025-12-11 00:00:00-03:00,30.913134892890834,30.932528771970006,30.302242497913817,30.45738983154297,64927900,0.0,0.0,PETR4.SA
14,2025-12-12 00:00:00-03:00,30.45739009073796,30.757987821014787,30.38951336288533,30.63193130493164,39659900,0.0,0.0,PETR4.SA
15,2025-12-15 00:00:00-03:00,30.719202083172153,30.932529207540632,30.631931475589106,30.738595962524414,31898900,0.0,0.0,PETR4.SA
16,2025-12-16 00:00:00-03:00,30.57375225059855,30.57375225059855,29.68165412847398,29.807710647583008,52661900,0.0,0.0,PETR4.SA
17,2025-12-17 00:00:00-03:00,29.924072541842637,30.137399673461914,29.885284781819752,30.137399673461914,39337100,0.0,0.0,PETR4.SA
18,2025-12-18 00:00:00-03:00,30.253760849288856,30.33133451917925,29.894981470106917,29.962858200073242,34311000,0.0,0.0,PETR4.SA
19,2025-12-19 00:00:00-03:00,30.127702648033186,30.29254692865866,30.03073509775311,30.069522857666016,45807700,0.0,0.0,PETR4.SA
20,2025-12-22 00:00:00-03:00,30.30224399563898,30.573752767660697,30.15679359436035,30.15679359436035,35896900,0.0,0.0,PETR4.SA
21,2025-12-23 00:00:00-03:00,30.549999237060547,30.56999969482422,30.209999084472656,30.260000228881836,21791400,0.943208,0.0,PETR4.SA
